snapshot_or_event_date,status,make,model_family,body,model_year,asking_price_usd,sold_price_usd,mileage_miles,location,listing_title,listing_url,source,vin_or_stock,notes
2026-09-14,last_ask,Ferrari,296,coupe,2024,324900,,,"Bellevue, Washington, USA",2024 Ferrari 296 GTB,https://www.classic.com/veh/2024-ferrari-296-gtb-zff99sla4r0311071-pPxgN3p/,Classic.com,ZFF99SLA4R0311071,296 GTB; 2k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-14,last_ask,Lamborghini,Revuelto,coupe,2024,659990,,,"New Albany, Indiana, USA",2024 Lamborghini Revuelto,https://www.classic.com/veh/2024-lamborghini-revuelto-zhwuc1zmxrla00291-nKxR0vW/,Classic.com,ZHWUC1ZMXRLA00291,Revuelto; 5k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-14,last_ask,Ferrari,SF90,coupe,2023,484985,,,"Palm Harbor, Florida, USA",2023 Ferrari SF90 Stradale,https://www.classic.com/veh/2023-ferrari-sf90-stradale-zff95nla6p0290802-WbRg7PW/,Classic.com,ZFF95NLA6P0290802,SF90 Stradale; 1k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-14,last_ask,Ferrari,SF90,coupe,2022,447990,,,"Portland, Oregon, USA",2022 Ferrari SF90 Stradale,https://www.classic.com/veh/2022-ferrari-sf90-stradale-zff95nla0n0282935-nOJa7E4/,Classic.com,ZFF95NLA0N0282935,SF90 Stradale; 1k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-13,last_ask,Ferrari,296,coupe,2025,325000,,,"San Diego, California, USA",2025 Ferrari 296 GTB,https://www.classic.com/veh/2025-ferrari-296-gtb-zff99sla9s0318605-47r1BXp/,Classic.com,ZFF99SLA9S0318605,296 GTB; 4k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-13,last_ask,Ferrari,296,spider,2024,449988,,471,"Pompano Beach, Florida, USA",2024 Ferrari 296 GTS Assetto Fiorano,https://www.classic.com/veh/2024-ferrari-296-gts-assetto-fiorano-zff01smaxr030-nKw8XXn/,Classic.com,,296 GTS; exact miles displayed: 471 mi; Classic.com Last Asking (removed/sold without published sold price)
2026-09-13,last_ask,Ferrari,296,spider,2024,399999,,,"DuPage County, Illinois, USA",2024 Ferrari 296 GTS,https://www.classic.com/veh/2024-ferrari-296-gts-zff01sma8r0309645-4aaVPx4/,Classic.com,ZFF01SMA8R0309645,296 GTS; 1k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-13,last_ask,Lamborghini,Aventador_SVJ,coupe,2019,1111111,,,"Wilsonville, Oregon, USA",2019 Lamborghini Aventador LP770-4 SVJ,https://www.classic.com/veh/2019-lamborghini-aventador-lp770-4-svj-zhwum6zdxkl-nl2XmQp/,Classic.com,,Aventador LP770-4 SVJ; 5k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-13,last_ask,Lamborghini,Revuelto,coupe,2024,639389,,,"Highlands Ranch, Colorado, USA",2024 Lamborghini Revuelto,https://www.classic.com/veh/2024-lamborghini-revuelto-zhwuc1zm9rla01383-WY2l51p/,Classic.com,ZHWUC1ZM9RLA01383,Revuelto; 4k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-13,last_ask,Lamborghini,Revuelto,coupe,2026,768672,,59,"West Palm Beach, Florida, USA",2026 Lamborghini Revuelto,https://www.classic.com/veh/2026-lamborghini-revuelto-zhwuc1zm7tla04953-p6qBZmW/,Classic.com,ZHWUC1ZM7TLA04953,Revuelto; exact miles displayed: 59 mi; Classic.com Last Asking (removed/sold without published sold price)
