make,model_family,body,model_year,vin,auction_house,sale_name,auction_date,status,price_native,currency,price_usd,price_basis,high_bid_usd,mileage_miles,listing_url,notes
Ferrari,458,spider,2013,ZFF68NHA4D0194522,Bring a Trailer,Bring a Trailer,2026-09-05,sold,500000,USD,500000,sold,,,https://bringatrailer.com/listing/2013-ferrari-458-spider-67/,rounded mileage in title: 7k-Mile
Ferrari,F8,spider,2022,ZFF93LMA7N0277210,Bring a Trailer,Bring a Trailer,2026-09-04,sold,640000,USD,640000,sold,,342,https://bringatrailer.com/listing/2022-ferrari-f8-spider-29/,
Ferrari,488,spider,2019,ZFF80AMAXK0241922,Bring a Trailer,Bring a Trailer,2026-09-04,sold,428000,USD,428000,sold,,667,https://bringatrailer.com/listing/2019-ferrari-488-spider-27/,
Lamborghini,Performante,coupe,2018,ZHWUD4ZFXJLA09965,Cars & Bids,Cars & Bids,2026-09-03,sold,373000,USD,373000,sold,,,https://carsandbids.com/auctions/35Ew0gol/2018-lamborghini-huracan-performante-coupe,rounded mileage displayed: 3k mi
Ferrari,488,spider,2017,ZFF80AMA6H0220090,Bring a Trailer,Bring a Trailer,2026-09-03,sold,414000,USD,414000,sold,,,https://bringatrailer.com/listing/2017-ferrari-488-spider-41/,rounded mileage in title: 5k-Mile
Ferrari,488,spider,2018,ZFF80AMAXJ0231504,Bring a Trailer,Bring a Trailer,2026-09-01,sold,455000,USD,455000,sold,,,https://bringatrailer.com/listing/2018-ferrari-488-spider-57/,rounded mileage displayed: 4k mi
Ferrari,488,spider,2017,ZFF80AMA0H0226466,Bring a Trailer,Bring a Trailer,2026-09-01,unsold,376488,USD,,high_bid,376488,,https://bringatrailer.com/listing/2017-ferrari-488-spider-40/,
Ferrari,488,spider,2018,ZFF80AMAXJ0231504,Bring a Trailer,Bring a Trailer,2026-08-31,sold,455000,USD,455000,sold,,,https://bringatrailer.com/listing/2018-ferrari-488-spider-57/,rounded mileage in title: 4k-Mile
Ford,GT,coupe,2005,1FAFP90S95Y401895,Bring a Trailer,Bring a Trailer,2026-08-29,sold,690000,USD,690000,sold,,2100,https://bringatrailer.com/listing/2005-ford-gt-242/,
Ferrari,458,spider,2013,ZFF68NHA9D0190692,Bring a Trailer,Bring a Trailer,2026-08-29,sold,425000,USD,425000,sold,,,https://bringatrailer.com/listing/2013-ferrari-458-spider-66/,rounded mileage in title: 7k-Mile
Ferrari,488,spider,2016,ZFF80AMA0G0219421,Bring a Trailer,Bring a Trailer,2026-08-28,sold,377000,USD,377000,sold,,3100,https://bringatrailer.com/listing/2016-ferrari-488-spider-13/,
Ferrari,458,spider,2013,ZFF68NHA4D0190518,PCARMARKET,PCARMARKET via Classic.com,2026-08-28,unsold,,USD,,high_bid,,,https://www.classic.com/veh/2013-ferrari-458-spider-zff68nha4d0190518-4Avqzzn/,unsold; high bid not shown; rounded mileage displayed: 31k mi
Ferrari,458,spider,2013,ZFF68NHA4D0194519,Bring a Trailer,Bring a Trailer,2026-08-28,sold,400058,USD,400058,sold,,,https://bringatrailer.com/listing/2013-ferrari-458-spider-69/,
Lamborghini,Performante,spider,2018,ZHWCS4ZF5JLA11205,Bring a Trailer,Bring a Trailer,2026-08-26,sold,329000,USD,329000,sold,,,https://bringatrailer.com/listing/2018-lamborghini-huracan-lp640-4-performante-spyder-3/,rounded mileage displayed: 11k mi
Ford,GT,coupe,2005,1FAFP90S55Y400582,Bring a Trailer,Bring a Trailer,2026-08-26,sold,685000,USD,685000,sold,,4500,https://bringatrailer.com/listing/2005-ford-gt-238/,
Ferrari,488,spider,2019,ZFF80AMA8K0244298,Bring a Trailer,Bring a Trailer,2026-08-26,sold,405000,USD,405000,sold,,,https://bringatrailer.com/listing/2019-ferrari-488-spider-25/,rounded mileage in title: 7k-Mile
Ferrari,488,spider,2016,ZFF80AMAXG0218941,Bring a Trailer,Bring a Trailer,2026-08-25,sold,352001,USD,352001,sold,,,https://bringatrailer.com/listing/2016-ferrari-488-spider-12/,
Ferrari,458,spider,2012,ZFF68NHA4D0190468,Bring a Trailer,Bring a Trailer,2026-08-25,sold,490000,USD,490000,sold,,4400,https://bringatrailer.com/listing/2012-ferrari-458-spider-21/,
Ford,GT,coupe,2005,1FAFP90S35Y400970,Bring a Trailer,Bring a Trailer,2026-08-24,sold,715000,USD,715000,sold,,,https://bringatrailer.com/listing/2005-ford-gt-239/,rounded mileage in title: 8k-Mile
Ferrari,488,spider,2018,ZFF80AMA1J0232833,Bring a Trailer,Bring a Trailer,2026-08-23,unsold,425034,USD,,high_bid,425034,986,https://bringatrailer.com/listing/2018-ferrari-488-spider-54/,
Ferrari,F8,coupe,2020,ZFF92LLA5L0255384,Bring a Trailer,Bring a Trailer,2026-08-21,sold,455000,USD,455000,sold,,917,https://bringatrailer.com/listing/2020-ferrari-f8-tributo-18/,
Ferrari,488,spider,2016,ZFF80AMAXG0218471,Bring a Trailer,Bring a Trailer,2026-08-21,sold,383000,USD,383000,sold,,4600,https://bringatrailer.com/listing/2016-ferrari-488-spider-11/,
Ferrari,458,coupe,2012,ZFF67NFA0C0188835,Bring a Trailer,Bring a Trailer,2026-08-21,unsold,350000,USD,,high_bid,350000,,https://bringatrailer.com/listing/2012-ferrari-458-italia-27/,rounded mileage in title: 9k-Mile
Ferrari,458,coupe,2015,ZFF67NFA3F0206684,Bring a Trailer,Bring a Trailer,2026-08-19,sold,501000,USD,501000,sold,,1800,https://bringatrailer.com/listing/2015-ferrari-458-italia-18/,
Ferrari,488,spider,2017,ZFF80AMA6H0225631,Bring a Trailer,Bring a Trailer,2026-08-17,unsold,360000,USD,,high_bid,360000,,https://bringatrailer.com/listing/2017-ferrari-488-spider-36/,rounded mileage in title: 15k-Mile
McLaren,765LT,spider,2022,SBM14SCA4NW765748,RM Sotheby's,RM Sotheby's via Classic.com,2026-08-15,sold,775000,USD,775000,sold,,,https://www.classic.com/veh/2022-mclaren-765lt-spider-sbm14sca4nw765748-pzm18bW/,unparsed mileage 'TMU'
Ford,GT,coupe,2006,1FAFP90S86Y400464,Bring a Trailer,Bring a Trailer,2026-08-15,sold,600000,USD,600000,sold,,,https://bringatrailer.com/listing/2006-ford-gt-220/,
