snapshot_date,model_family,body,model_year,asking_price_usd,mileage_miles,currency,location,seller_type,listing_title,listing_url,source,vin_or_stock,exterior_color,interior_color,notes
2026-09-15,SF90,coupe,2021,389912,23774,USD,"Naperville, Illinois, USA",dealer,Used 2021 Ferrari SF90 Stradale Coupe,https://www.cars.com/vehicledetail/8de3a770-933a-4c9e-b3cf-9f1133bf641a/?sid=9ac3e6b3-5b06-4789-a086-d9854afdd0b3,Cars.com,ZFF95NLA3M0268350,,,Classic.com asterisk asking; 23k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Chicago Motor Cars
2026-09-15,SF90,coupe,2021,389995,19454,USD,"Houston, Texas, USA",dealer,2021 Ferrari SF90 Stradale,https://www.classic.com/veh/2021-ferrari-sf90-stradale-zff95nla6m0266737-Wqm10bW/,Classic.com,ZFF95NLA6M0266737,Black,Brown,Classic.com asterisk asking; 19k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Houston Auto World; Stock # 66737; trim: Stradale AWD
2026-09-15,SF90,coupe,2021,399998,,USD,"Fort Lauderdale, Florida, USA",dealer,"2021 Ferrari SF90 Stradale Rosso Corsa Paint, Azzurro Santorini Interior, Suspension Lifter, Scuderia Shields AND MUCH MORE!!!",https://www.classic.com/veh/2021-ferrari-sf90-stradale-rosso-corsa-paint-azzur-pGZXmjW/,Classic.com,,,,Classic.com asterisk asking; 10k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Carrio Motor Cars
2026-09-15,SF90,coupe,2021,429900,5578,USD,"Coral Gables, USA",dealer,2021 Ferrari SF90 Stradale,https://preowned.ferrari.com/en-US/vehicle/IljixbcgVnJGsKsQfDGsrnnONbdrFky%2FxQwHHbMeA637WOmxfPsGeVzIHXlNstR2uIYTFSPL%2FhUsxUH%2Bsfb5DBe37ulnKHobbTaDEL1LFA%3D%3D,Ferrari Approved (preowned.ferrari.com),ZFF95NLAXM0263968,Rosso Dino,,stock M0263968P
2026-09-15,SF90,coupe,2021,439985,2074,USD,"Edison, USA",dealer,2021 Ferrari SF90 Stradale,https://preowned.ferrari.com/en-US/vehicle/IljixbcgVnJGsKsQfDGsrvSnvrLfEpVlgpWAhA%2BxsWAA41mALgPVaflkUsdRQdbIuIYTFSPL%2FhVExUH%2BsfP3Dx637ulnKX8cbzSME7hKFg%3D%3D,Ferrari Approved (preowned.ferrari.com),ZFF95NLA0M0266751,Blu Nart,,stock F0266751TC
2026-09-15,SF90,coupe,2021,443988,2947,USD,"Honolulu, USA",dealer,2021 Ferrari SF90 Stradale,https://preowned.ferrari.com/en-US/vehicle/IljixbcgVnJGsKsQfDGsroqk51dfpJDK7bohZ%2BPZ5G%2B1Zs9eCNCjbsxnLsCvKRZ6uIYTFSPL%2FhVFxUH%2Bsfb2Ch237ulnKXkfbz%2BGHbpJFQ%3D%3D,Ferrari Approved (preowned.ferrari.com),ZFF95NLA1M0263602,Nero Daytona,,stock X1139A; Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Velocity Honolulu; Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Velocity Honolulu; Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Velocity Honolulu; Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Velocity Honolulu; Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Velocity Honolulu; Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Velocity Honolulu
2026-09-15,SF90,coupe,2021,447557,701,USD,"Rancho Mirage, USA",dealer,2021 Ferrari SF90 Stradale,https://preowned.ferrari.com/en-US/vehicle/IljixbcgVnJGsKsQfDGsruINcQA8IJsG9dHxIm89O7%2FKtHJJYiTAwSBNJZSdMjtCuIYTFSPL%2FhVGxUH%2BsfTxDBy37ulnK38baz%2BHE7ZNEg%3D%3D,Ferrari Approved (preowned.ferrari.com),ZFF95NLA2M0261163,Rosso Corsa,,stock PM0261163
2026-09-15,SF90,coupe,2021,449890,2017,USD,"St Louis, USA",dealer,2021 Ferrari SF90 Stradale,https://preowned.ferrari.com/en-US/vehicle/IljixbcgVnJGsKsQfDGsrgn9EQUZP1tB1aNog00%2B7Zmj2SDbQpICcqti40lbyibJuIYTFSPL%2FhVFxUH%2BsfPyAhi37ulnJX8baDCBFbhNFg%3D%3D,Ferrari Approved (preowned.ferrari.com),ZFF95NLA1M0266287,Bianco Avus,Rosso Ferrari,stock C1M0266287; Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Cavallino Rosso St. Louis; Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Cavallino Rosso St. Louis; Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Cavallino Rosso St. Louis; Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Cavallino Rosso St. Louis; Stock # C1M0266287; trim: Stradale AWD
2026-09-15,SF90,coupe,2021,450000,,USD,"San Juan, Puerto Rico, PRI",dealer,2021 Ferrari SF90 Stradale,https://www.classic.com/veh/2021-ferrari-sf90-stradale-zff95nla5m0263540-nXwL2b4/,Classic.com,ZFF95NLA5M0263540,,,Classic.com asterisk asking; 3k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Ferrari Puerto Rico
2026-09-15,SF90,coupe,2021,469999,980,USD,"Phoenix, USA",dealer,2021 Ferrari SF90 Stradale,https://preowned.ferrari.com/en-US/vehicle/IljixbcgVnJGsKsQfDGsrj2JKk1uzPrHkZDK1F6sxL5OY3q8SIADpiLFNqnjE0C%2FuIYTFSPL%2FhVHxUH%2BsfHxCxa37ulnKHQabTKBE7tHGA%3D%3D,Ferrari Approved (preowned.ferrari.com),ZFF95NLA3M0264119,Rosso Corsa,,stock FP5380
