snapshot_date,model_family,body,model_year,asking_price_usd,mileage_miles,currency,location,seller_type,listing_title,listing_url,source,vin_or_stock,exterior_color,interior_color,notes
2026-09-15,Gen1,coupe,2005,429995,8833,USD,"Houston, Texas, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s05y401185-WqmLVBW/,Classic.com,1FAFP90S05Y401185,blue,,Classic.com asterisk asking; 8k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Houston Auto World; miles enriched from Cars.com
2026-09-15,Gen1,coupe,2005,500000,50406,USD,,dealer,2005 Ford GT Base,https://www.cars.com/vehicledetail/0947e6dd-2757-4c7c-8e6d-1001e0ad1150/,Cars.com,1FAFP90S95Y400472,red,,"Cars.com SRP; Cars.com exact miles: 50,406 mi."
2026-09-15,Gen1,coupe,2005,569500,7500,USD,"Orange County, California, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s55y400288-N4Avobn/,Classic.com,1FAFP90S55Y400288,black,,Classic.com asterisk asking; 7k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Gallery Junction; miles enriched from Cars.com
2026-09-15,Gen1,coupe,2005,599200,10525,USD,"Morgantown, Pennsylvania, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s85y401161-4rmL0Ep/,Classic.com,1FAFP90S85Y401161,,,Classic.com asterisk asking; 10k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Classic Auto Mall; miles enriched from Hemmings
2026-09-15,Gen1,coupe,2005,649500,,USD,"Orange County, California, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s25y401737-n1kqRqp/,Classic.com,1FAFP90S25Y401737,,,Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Gallery Junction
2026-09-15,Gen1,coupe,2005,649900,12205,USD,,dealer,2005 Ford GT Base,https://www.cars.com/vehicledetail/f5fe75d0-4ea2-4030-a9a4-2c43f7adf289/,Cars.com,1FAFP90SX5Y400738,white,Black,"Cars.com SRP; Cars.com exact miles: 12,205 mi."
2026-09-15,Gen1,coupe,2005,699900,,USD,"Orange County, California, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s55y401237-4ZGgL9n/,Classic.com,1FAFP90S55Y401237,,,Classic.com asterisk asking; 4k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Gallery Junction
2026-09-15,Gen1,coupe,2005,700449,4847,USD,,dealer,2005 Ford GT,https://www.cargurus.com/details/456502677,CarGurus,1FAFP90S95Y401251,Centennial White Clearcoat,Ebony Black,CarGurus; Stock # D401251; trim: RWD; exterior color: Centennial White Clearcoat
2026-09-15,Gen1,coupe,2005,779996,11976,USD,"Charlotte, North Carolina, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s65y401448-WjK1jwp/,Classic.com,1FAFP90S65Y401448,blue,Black,Classic.com asterisk asking; 12k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:McLaren Charlotte; miles enriched from Cars.com
2026-09-15,Gen1,coupe,2005,869999,564,USD,"Costa Mesa, California, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s05y401512-bnwx93W/,Classic.com,1FAFP90S05Y401512,red,,Classic.com asterisk asking; exact miles displayed: 564 mi; fixed-price; seller:Eurocar Inc.
2026-09-15,Gen1,coupe,2005,979995,30,USD,"Beverly Hills, California, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s95y401413-pgzzNLW/,Classic.com,1FAFP90S95Y401413,red,Black,Classic.com asterisk asking; exact miles displayed: 30 mi; fixed-price; seller:TBTFW
2026-09-15,Gen1,coupe,2005,1099980,,USD,"Peculiar, Missouri, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s15y401356-45JwBkn/,Classic.com,1FAFP90S15Y401356,,,Classic.com asterisk asking; 1k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Desneux Motorsports
2026-09-15,Gen1,coupe,2005,1150000,537,USD,"Fairview, New Jersey, USA",dealer,2005 Ford GT,https://www.classic.com/veh/2005-ford-gt-1fafp90s65y400736-WkXz7zp/,Classic.com,1FAFP90S65Y400736,,,Classic.com asterisk asking; exact miles displayed: 537 mi; fixed-price; seller:Legendary Classics Llc
2026-09-15,Gen1,coupe,2006,499992,16067,USD,,dealer,2006 Ford GT Base,https://www.cars.com/vehicledetail/df9172d5-0204-4d03-9b2e-02cf0524a3dd/,Cars.com,1FAFP90S76Y400195,gray,Black,"Cars.com SRP; Cars.com exact miles: 16,067 mi."
2026-09-15,Gen1,coupe,2006,632443,35197,USD,"Waalwijk, NL",dealer,2006 Ford GT,https://www.hemmings.com/classifieds/listing/2006-ford-gt-waalwijk-2958372,Hemmings,,,,"Hemmings classified; price-bar:$632,443; converted 56644 km -> 35197 mi; Netherlands listing; Heritage Edition"
2026-09-15,Gen1,coupe,2006,649500,10960,USD,"Orange, California, USA",dealer,2006 Ford GT,https://www.classic.com/veh/2006-ford-gt-1fafp90s76y401265-WvxOMl4/,Classic.com,1FAFP90S76Y401265,gray,,Classic.com asterisk asking; 11k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Gallery Junction; miles enriched from Cars.com
2026-09-15,Gen1,coupe,2006,699900,,USD,"Orange County, California, USA",dealer,2006 Ford GT,https://www.classic.com/veh/2006-ford-gt-1fafp90sx6y401342-nwJ8x24/,Classic.com,1FAFP90SX6Y401342,,,Classic.com asterisk asking; 7k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Gallery Junction
2026-09-15,Gen1,coupe,2006,699980,,USD,"Peculiar, Missouri, USA",dealer,2006 Ford Ford GT,https://www.classic.com/veh/2006-ford-ford-gt-1fafp90s86y400867-47J8EEp/,Classic.com,1FAFP90S86Y400867,,,Classic.com asterisk asking; 10k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Desneux Motorsports
2026-09-15,Gen1,coupe,2006,749900,1282,USD,"Springfield, Missouri, USA",dealer,2006 Ford GT,https://www.classic.com/veh/2006-ford-gt-1fafp90s56y401426-nX7oEZ4/,Classic.com,1FAFP90S56Y401426,black,,Classic.com asterisk asking; 1k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Premier Sports Cars Co.; miles enriched from Cars.com
2026-09-15,Gen1,coupe,2006,749900,,USD,"Springfield, Missouri, USA",dealer,2006 Ford GT,https://www.classic.com/veh/2006-ford-gt-1fafp90s86y400870-nBaYrZ4/,Classic.com,1FAFP90S86Y400870,,,Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Premier Sports Cars Co.
2026-09-15,Gen1,coupe,2006,750000,,USD,"Los Angeles, California, USA",dealer,2006 Ford GT,https://www.classic.com/veh/2006-ford-gt-1fafp90s26y401416-nBQPvB4/,Classic.com,1FAFP90S26Y401416,,,Classic.com asterisk asking; 8k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:SoCal Car Guy
2026-09-15,Gen1,coupe,2006,869675,1928,USD,"Carrollton, Texas, USA",dealer,2006 Ford GT,https://www.classic.com/veh/2006-ford-gt-1fafp90s06y401558-4oAA1PW/,Classic.com,1FAFP90S06Y401558,gray,Black,Classic.com asterisk asking; 1k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Earth MotorCars; miles enriched from Cars.com
2026-09-15,Gen1,coupe,2006,899980,,USD,"Peculiar, Missouri, USA",dealer,2006 Ford GT,https://www.classic.com/veh/2006-ford-gt-1fafp90s96y400540-4A1q7q4/,Classic.com,1FAFP90S96Y400540,,,Classic.com asterisk asking; 3k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Desneux Motorsports
2026-09-15,Gen1,coupe,2006,899999,926,USD,"Costa Mesa, California, USA",dealer,2006 Ford GT,https://www.classic.com/veh/2006-ford-gt-1fafp90s56y400390-WbKNbmp/,Classic.com,1FAFP90S56Y400390,gray,,Classic.com asterisk asking; exact miles displayed: 926 mi; fixed-price; seller:Eurocar Inc.
2026-09-15,Gen1,coupe,2006,1025000,,USD,"Tulsa, Oklahoma, USA",dealer,2006 Ford GT Heritage Edition,https://www.classic.com/veh/2006-ford-gt-heritage-edition-1fafp90s46y400784-4Vmkovp/,Classic.com,1FAFP90S46Y400784,,,Classic.com asterisk asking; 6k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Kaleb Cars; Heritage Edition
2026-09-15,Gen1,coupe,2006,1295999,32,USD,"Green Brook Township, New Jersey, USA",dealer,2006 Ford GT,https://www.classic.com/veh/2006-ford-gt-1fafp90s36y401179-pzlzv1n/,Classic.com,1FAFP90S36Y401179,,,Classic.com asterisk asking; exact miles displayed: 32 mi; fixed-price; seller:No Reserve Classics
2026-09-15,Gen1,coupe,2006,1399912,68,USD,,dealer,2006 Ford GT Coupe,https://www.cars.com/vehicledetail/84f07a1e-3bc9-461b-97ba-860361bfeda8/,Cars.com,1FAFP90S26Y401009,black,,Cars.com SRP; Cars.com exact miles: 68 mi.
2026-09-15,Gen1,coupe,2006,1496349,579,USD,,dealer,2006 Ford GT Base,https://www.cars.com/vehicledetail/370bfdab-6584-4628-a133-83629fd8dae4/,Cars.com,1FAFP90S26Y400864,blue,,Cars.com SRP; Cars.com exact miles: 579 mi.
2026-09-15,Gen1,coupe,2006,1499888,12,USD,"San Luis Obispo, California, USA",dealer,2006 Ford GT,https://www.classic.com/veh/2006-ford-gt-1fafp90s36y401991-n3yEODp/,Classic.com,1FAFP90S36Y401991,blue,,Classic.com asterisk asking; exact miles displayed: 12 mi; fixed-price; seller:Porsche San Luis Obispo
2026-09-15,Gen1,coupe,2006,1500826,35,USD,"Atlanta, GA, US",dealer,2006 Ford GT Coupe,https://www.hemmings.com/classifieds/listing/2006-ford-gt-atlanta-ga-2931856,Hemmings,1FAFP90S66Y400169,,,"Hemmings classified; price-bar:$1,500,826; Heritage Edition"
2026-09-15,Gen2,coupe,2017,1050000,1173,USD,"Wilsonville, Oregon, USA",dealer,2017 Ford GT,https://www.classic.com/veh/2017-ford-gt-2fagp9cw8hh200068-pPw1X3W/,Classic.com,2FAGP9CW8HH200068,white,,Classic.com asterisk asking; 1k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Ron Tonkin Gran Turismo; miles enriched from Cars.com
2026-09-15,Gen2,coupe,2018,2999975,699,USD,,dealer,2018 Ford GT base,https://www.cars.com/vehicledetail/9ca19d2b-aeff-472b-8621-a22a81eebe3b/,Cars.com,2FAGP9CW2JH100120,orange,Blue,Cars.com SRP; Cars.com exact miles: 699 mi.
2026-09-15,Gen2,coupe,2019,749900,18191,USD,,dealer,2019 Ford GT Base,https://www.cars.com/vehicledetail/8554e84a-eae2-4da3-ab42-be15c3738f84/,Cars.com,2FAGP9CW6KH200089,silver,,"Cars.com SRP; Cars.com exact miles: 18,191 mi."
2026-09-15,Gen2,coupe,2019,999412,249,USD,"West Chicago, Illinois, USA",dealer,2019 Ford GT,https://www.classic.com/veh/2019-ford-gt-2fagp9cw2kh200137-n2VVJon/,Classic.com,2FAGP9CW2KH200137,blue,Other,Classic.com asterisk asking; exact miles displayed: 249 mi; fixed-price; seller:Chicago Motor Cars
2026-09-15,Gen2,coupe,2019,1045412,1551,USD,"West Chicago, Illinois, USA",dealer,2019 Ford GT,https://www.classic.com/veh/2019-ford-gt-2fagp9cw6kh200108-nBarEQ4/,Classic.com,2FAGP9CW6KH200108,Gray,Other,Classic.com asterisk asking; 1k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Chicago Motor Cars; miles enriched from Cars.com
2026-09-15,Gen2,coupe,2019,1075000,10,USD,"Schoolcraft County, Michigan, USA",dealer,2019 Ford GT Carbon Series,https://www.classic.com/veh/2019-ford-gt-carbon-series-2fagp9cw5kh200035-p6jEJmp/,Classic.com,2FAGP9CW5KH200035,,,Classic.com asterisk asking; exact miles displayed: 10 mi; fixed-price; seller:Reggia Auto Group
2026-09-15,Gen2,coupe,2019,1599995,2553,USD,"Trenton, New Jersey, USA",dealer,2019 Ford GT Heritage Edition,https://www.classic.com/veh/2019-ford-gt-heritage-edition-2fagp9cwxkh200242-pJdQxLn/,Classic.com,2FAGP9CWXKH200242,blue,,Classic.com asterisk asking; 2k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:J&S AutoHaus Group; Heritage Edition; miles enriched from Cars.com
2026-09-15,Gen2,coupe,2020,749000,392,USD,"Broward County, Florida, USA",dealer,2020 Ford GT,https://www.classic.com/veh/2020-ford-gt-2fagp9cw4lh100185-4o6QoPp/,Classic.com,2FAGP9CW4LH100185,,,Classic.com asterisk asking; exact miles displayed: 392 mi; fixed-price; seller:Papin Garage Llc
2026-09-15,Gen2,coupe,2020,935993,,USD,"Kelowna, CAN",dealer,2020 Ford GT,https://www.classic.com/veh/2020-ford-gt-2fagp9cw0lh100104-WxobZJn/,Classic.com,2FAGP9CW0LH100104,,,Classic.com asterisk asking; unparsed mileage text '3k km (1k mi)'; left blank; fixed-price; seller:August Luxury Motorcars
2026-09-15,Gen2,coupe,2020,1065000,90,USD,"Schoolcraft, MI, USA",dealer,2020 Ford GT Carbon Series,https://www.classic.com/veh/2020-ford-gt-carbon-series-2fagp9dw5lh100212-nOw629n/,Classic.com,2FAGP9DW5LH100212,,,Classic.com asterisk asking; exact miles displayed: 90 mi; fixed-price; seller:Reggia Auto Group
2026-09-15,Gen2,coupe,2020,1099980,231,USD,"Jonesboro, Arkansas, USA",dealer,2020 Ford GT Carbon Series,https://www.classic.com/veh/2020-ford-gt-carbon-series-2fagp9dw2lh100166-Wky1O04/,Classic.com,2FAGP9DW2LH100166,yellow,,Classic.com asterisk asking; exact miles displayed: 231 mi; fixed-price; seller:Elite Autos LLC
2026-09-15,Gen2,coupe,2020,1199995,30,USD,"Houston, Texas, USA",dealer,2020 Ford GT Carbon Series,https://www.classic.com/veh/2020-ford-gt-carbon-series-2fagp9dw7lh100101-WNGELdp/,Classic.com,2FAGP9DW7LH100101,blue,Other,Classic.com asterisk asking; exact miles displayed: 30 mi; fixed-price; seller:CLB Sportscars
2026-09-15,Gen2,coupe,2020,1299990,,USD,"Kelowna, BC, CA",dealer,2020 Ford GT 2dr Car,https://www.hemmings.com/classifieds/listing/2020-ford-gt-kelowna-bc-2955133,Hemmings,,,,"Hemmings classified; price-bar:$1,299,990"
2026-09-15,Gen2,coupe,2021,1025412,498,USD,,dealer,2021 Ford GT Coupe,https://www.cars.com/vehicledetail/c6ed78e7-7a08-428e-910a-ee0183733fff/,Cars.com,2FAGP9CW6MH200225,black,,Cars.com SRP; Cars.com exact miles: 498 mi.
2026-09-15,Gen2,coupe,2021,1100000,50,USD,,dealer,2021 Ford GT,https://www.cars.com/vehicledetail/d1bcefd9-7563-42fe-9759-6acc6899ae15/,Cars.com,2FAGP9CW1MH200049,black,,Cars.com SRP; Cars.com exact miles: 50 mi.
2026-09-15,Gen2,coupe,2021,1299800,534,USD,,dealer,2021 Ford GT,https://www.cars.com/vehicledetail/382d4e97-0e5e-47b8-acf4-1c0cc17842b6/,Cars.com,2FAGP9CW1MH200066,Midnight Purple Metallic,Black/White,Cars.com SRP; Cars.com exact miles: 534 mi.
2026-09-15,Gen2,coupe,2022,2199995,17,USD,,dealer,2022 Ford GT,https://www.dupontregistry.com/autos/listing/622842,duPont REGISTRY,2FAGP9FW8NH200109,Other,Other,duPont REGISTRY; color:Other; seller:Motor Cars of Chicago; stock:10743
