snapshot_date,model_family,body,model_year,asking_price_usd,mileage_miles,currency,location,seller_type,listing_title,listing_url,source,vin_or_stock,exterior_color,interior_color,notes
2026-09-15,SV,coupe,2017,499900,9987,USD,"Superveloce Exotic World Motor Cars Dallas, TX, USA",dealer,2017 Lamborghini Aventador LP750-4 Superveloce,https://www.cars.com/vehicledetail/0ed455e8-f7ca-47c4-98a6-49525947499e/,Cars.com,ZHWUG4ZD5HLA05936,yellow,,Cars.com search results; exact miles from Cars.com JSON: 9987; seller:Exotic World Motor Cars; stock:Used; exterior color: yellow
2026-09-15,SV,coupe,2016,644989,,USD,"Tampa, Florida, USA",dealer,2016 Lamborghini Aventador LP750-4 SV,https://www.classic.com/veh/2016-lamborghini-aventador-lp750-4-sv-zhwuf3zd4gla-pGXxqb4/,Classic.com,,,,Classic.com asterisk asking; 27k mi displayed; mileage blank (rounded Nk mi); seller:Tampa Auto Gallery
2026-09-15,SV,coupe,2016,672493,31558,USD,"Miami, FL",dealer,2016 Lamborghini Aventador,https://www.cargurus.com/details/456252495,CarGurus,ZHWUF3ZD3GLA04375,Rosso Bia,Nero Ade,Stock # A04375; trim: LP 750-4 SV Coupe AWD; exterior color: Rosso Bia; interior color: Nero Ade
2026-09-15,SV,coupe,2016,779990,,USD,"Fort Collins, Colorado, USA",dealer,2016 Lamborghini Aventador LP750-4 SV,https://www.classic.com/veh/2016-lamborghini-aventador-lp750-4-sv-zhwuf3zd4gla-p0QGBy4/,Classic.com,,,,Classic.com asterisk asking; 21k mi displayed; mileage blank (rounded Nk mi); seller:Auto Trends
2026-09-15,SV,coupe,2016,780489,21125,USD,"Fort Collins, CO",dealer,2016 Lamborghini Aventador,https://www.cargurus.com/details/458229557,CarGurus,ZHWUF3ZD4GLA04689,Red,Black,Stock # 2104C; trim: LP 750-4 SV Coupe AWD; exterior color: Red; interior color: Black
2026-09-15,SV,coupe,2016,829995,,USD,"Trenton, New Jersey, USA",dealer,2016 Lamborghini Aventador LP750-4 SV,https://www.classic.com/veh/2016-lamborghini-aventador-lp750-4-sv-zhwuf3zd0gla-nBkREEW/,Classic.com,,,,Classic.com asterisk asking; 14k mi displayed; mileage blank (rounded Nk mi); seller:J&S AutoHaus Group
2026-09-15,SV,coupe,2016,829995,,USD,"Trenton, New Jersey, USA",dealer,2016 Lamborghini Aventador LP750-4 SV,https://www.classic.com/veh/2016-lamborghini-aventador-lp750-4-sv-zhwuf3zd6gla-pgzv6vW/,Classic.com,,,,Classic.com asterisk asking; 14k mi displayed; mileage blank (rounded Nk mi); seller:J&S AutoHaus Group
2026-09-15,SV,coupe,2016,830790,14563,USD,"Ewing, NJ, USA",dealer,2016 Lamborghini Aventador LP750-4 Superveloce,https://www.cars.com/vehicledetail/0f764d2f-9958-4867-95ce-c7283aa28f00/,Cars.com,ZHWUF3ZD6GLA04872,white,Nero Ade,Cars.com search results; exact miles from Cars.com JSON: 14563; seller:J & S Autohaus; stock:Used; exterior color: white
2026-09-15,SV,coupe,2016,830790,14100,USD,"Ewing, NJ, USA",dealer,2016 Lamborghini Aventador LP750-4 Superveloce,https://www.cars.com/vehicledetail/a6985f7e-b933-4403-a273-56206b193df0/,Cars.com,ZHWUF3ZD0GLA04544,yellow,Nero Ade,Cars.com search results; exact miles from Cars.com JSON: 14100; seller:J & S Autohaus; stock:Used; exterior color: yellow
2026-09-15,SV,coupe,2016,849989,12596,USD,"Johnson Creek, WI, USA",dealer,2016 Lamborghini Aventador LP750-4 Superveloce,https://www.cars.com/vehicledetail/48942d8d-f65b-4149-97ef-aa8b7989c693/,Cars.com,ZHWUF3ZD7GLA04301,green,Nero Cosmus,Cars.com search results; exact miles from Cars.com JSON: 12596; seller:Kearns Motor Car Co.; stock:Used; exterior color: green; also listed on CarGurus @ $850478
2026-09-15,SV,coupe,2016,849989,8896,USD,"Johnson Creek, WI, USA",dealer,2016 Lamborghini Aventador LP750-4 Superveloce,https://www.cars.com/vehicledetail/49d7d943-b067-4e4f-b317-d83aaf4efb45/,Cars.com,ZHWCF3ZD5GLA04485,Grigio Antares Metallic (Blu Glauco Wrap),Nero Cosmus,Cars.com search results; exact miles from Cars.com JSON: 8896; seller:Kearns Motor Car Co.; stock:Used; also listed on CarGurus @ $850478
2026-09-15,SV,coupe,2016,899600,,USD,"Carrollton, Texas, USA",dealer,2016 Lamborghini Aventador LP750-4 SV,https://www.classic.com/veh/2016-lamborghini-aventador-lp750-4-sv-zhwuf3zd9gla-4oXqMJn/,Classic.com,,,,Classic.com asterisk asking; 8k mi displayed; mileage blank (rounded Nk mi); seller:Earth MotorCars
2026-09-15,SV,coupe,2016,899825,8501,USD,"Carrollton, TX, USA",dealer,2016 Lamborghini Aventador LP750-4 Superveloce,https://www.cars.com/vehicledetail/0a27bc59-04a4-48b1-a011-8d94d05ec993/,Cars.com,ZHWUF3ZD9GLA04493,green,Gray,Cars.com search results; exact miles from Cars.com JSON: 8501; seller:Earth MotorCars / Lotus of Dallas; stock:Used; exterior color: green
2026-09-15,SV,coupe,2016,899995,21545,USD,"Tampa, FL",dealer,2016 Lamborghini Aventador,https://www.cargurus.com/details/435112019,CarGurus,ZHWUT3ZD2GLA05025,Green,Black,Stock # A05025; trim: LP 750-4 SV Coupe AWD; exterior color: Green; interior color: Black
2026-09-15,SV,coupe,2017,950353,5064,USD,"Joliet, IL",dealer,2017 Lamborghini Aventador,https://www.cargurus.com/details/457981693,CarGurus,ZHWUF3ZD7HLA05370,Giallo Orion Pearl,Nero Ade,Stock # 10884; trim: LP 750-4 SV; exterior color: Giallo Orion Pearl; interior color: Nero Ade
2026-09-15,SV,coupe,2017,997190,,USD,"Ashburn, Virginia, USA",dealer,2017 Lamborghini Aventador LP750-4 SV,https://www.classic.com/veh/2017-lamborghini-aventador-lp750-4-sv-zhwcf3zd8hla-nBkDOZW/,Classic.com,,,,Classic.com asterisk asking; 14k mi displayed; mileage blank (rounded Nk mi); seller:Exclusive Automotive Group
