snapshot_date,model_family,body,model_year,asking_price_usd,mileage_miles,currency,location,seller_type,listing_title,listing_url,source,vin_or_stock,exterior_color,interior_color,notes
2026-09-15,STO,coupe,2021,474989,14202,USD,"Johnson Creek, WI, USA",dealer,2021 Lamborghini Huracan STO Coupe,https://www.cars.com/vehicledetail/6d129822-aa5d-487c-8315-dbafaefd9c6d/,Cars.com,ZHWUA6ZX8MLA17242,blue,,Cars.com search results; exact miles from Cars.com JSON: 14202; seller:Kearns Motor Car Co.; stock:Used; exterior color: blue
2026-09-15,STO,coupe,2021,479900,7051,USD,"Murrieta, California, USA",dealer,2021 Lamborghini Huracan STO,https://www.classic.com/veh/2021-lamborghini-huracan-sto-zhwua6zx3mla17567-4DweP8p/,Classic.com,ZHWUA6ZX3MLA17567,,,Classic.com asterisk asking; 7k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:West Coast Exotic Cars; mileage enriched from Cars.com; also listed on Cars.com @ $479985
2026-09-15,STO,coupe,2022,411246,16878,USD,"Merrillville, Indiana, USA",dealer,2022 Lamborghini Huracan STO,https://www.classic.com/veh/2022-lamborghini-huracan-sto-zhwua6zx2nla18324-p6w2m14/,Classic.com,ZHWUA6ZX2NLA18324,,,Classic.com asterisk asking; 16k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Sweis Infiniti Merrillville; mileage enriched from Cars.com; also listed on Cars.com @ $411246
2026-09-15,STO,coupe,2022,445988,,USD,"Pompano Beach, Florida, USA",dealer,2022 Lamborghini Huracan STO,https://www.classic.com/veh/2022-lamborghini-huracan-sto-zhwua6zx1nla18251-nBxwZJp/,Classic.com,ZHWUA6ZX1NLA18251,,,Classic.com asterisk asking; 13k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Sienna Motors
2026-09-15,STO,coupe,2022,450000,2009,USD,"Lamborghini Huracan STO Coupe SR AUTO GROUP Quincy, MA, USA",dealer,2022 Lamborghini Huracan STO Coupe,https://www.cars.com/vehicledetail/73220e42-78e6-4564-9c16-e42c31444de0/,Cars.com,ZHWUA6ZX9NLA20281,,,Cars.com search results; exact miles from Cars.com JSON: 2009; seller:SR AUTO GROUP; stock:Used
2026-09-15,STO,coupe,2022,470223,7641,USD,"Houston, TX, USA",dealer,2022 Lamborghini Huracan STO Coupe,https://www.cars.com/vehicledetail/45e3ef4a-3595-4ae6-904f-317a8e74898f/,Cars.com,ZHWUA6ZX8NLA18151,white,,"Cars.com search results; exact miles from Cars.com JSON: 7641; seller:Lamborghini Houston, Rolls-Royce Motorcars North Houston, McLaren Houston; stock:Used; exterior color: white"
2026-09-15,STO,coupe,2022,484991,9072,USD,"Scottsdale, AZ, USA",dealer,2022 Lamborghini Huracan STO Coupe,https://www.cars.com/vehicledetail/cd25bf42-5360-4577-bbd6-5fbe2744f697/,Cars.com,ZHWUA6ZX8NLA18876,,,Cars.com search results; exact miles from Cars.com JSON: 9072; seller:Auto Boom LLC; stock:Used
2026-09-15,STO,coupe,2022,489990,15212,USD,"New Albany, Indiana, USA",dealer,2022 Lamborghini Huracan STO,https://www.classic.com/veh/2022-lamborghini-huracan-sto-zhwua6zx1nla20565-4rGajYn/,Classic.com,ZHWUA6ZX1NLA20565,green,,Classic.com asterisk asking; 15k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Hypercars; mileage enriched from Cars.com; also listed on Cars.com @ $489990
2026-09-15,STO,coupe,2022,489998,8744,USD,"Pompano Beach, FL, USA",dealer,2022 Lamborghini Huracan STO Coupe,https://www.cars.com/vehicledetail/c4958d5f-44d9-4a36-8dd1-f5a4d66cf480/,Cars.com,ZHWUA6ZX7NLA18853,orange,,Cars.com search results; exact miles from Cars.com JSON: 8744; seller:HGreg.com Lux; stock:Used; exterior color: orange
2026-09-15,STO,coupe,2022,508368,1161,USD,"Chicago, IL, USA",dealer,2022 Lamborghini Huracan STO Coupe,https://www.cars.com/vehicledetail/5425cee6-43dd-4e63-b697-c274a9bcc8e5/,Cars.com,ZHWUA6ZX1NLA19738,blue,,"Cars.com search results; exact miles from Cars.com JSON: 1161; seller:Fields Motorcars Chicago - Bentley Gold Coast, Lamborghini Chicago and Rolls Royce Chicago; stock:Used; exterior color: blue"
