snapshot_date,model_family,body,model_year,asking_price_usd,mileage_miles,currency,location,seller_type,listing_title,listing_url,source,vin_or_stock,exterior_color,interior_color,notes
2026-09-14,Gallardo,coupe,2004,79433,46950,USD,"West Chester, OH, USA",dealer,2004 Lamborghini Gallardo Base AWD 2dr Coupe,https://www.cars.com/vehicledetail/ff4b9470-bad4-43a5-8c68-4bf58c596dc8/,Cars.com,ZHWGU11S74LA00858,orange,,Cars.com search results; exact miles from Cars.com JSON: 46950; seller:Unlimited Auto Group; stock:Used; exterior color: orange
2026-09-14,Gallardo,coupe,2004,99950,,USD,"Pompano Beach, Florida, USA",dealer,2004 Lamborghini Gallardo,https://www.classic.com/veh/2004-lamborghini-gallardo-zhwgu11sx4la01843-n1oq02p/,Classic.com,ZHWGU11SX4LA01843,,,Classic.com asterisk asking; 50k mi displayed; mileage blank (rounded Nk mi); seller:The New Auto Toy Store
2026-09-14,Gallardo,coupe,2004,105990,,USD,"Beverly Hills, California, USA",dealer,2004 Lamborghini Gallardo,https://www.classic.com/veh/2004-lamborghini-gallardo-zhwgu11s74la00438-pPwEqRW/,Classic.com,ZHWGU11S74LA00438,,,Classic.com asterisk asking; 15k mi displayed; mileage blank (rounded Nk mi); seller:Marshall Goldman Beverly Hills
2026-09-14,Gallardo,coupe,2004,111908,18932,USD,"San Juan Capistrano, CA, USA",dealer,2004 Lamborghini Gallardo,https://www.cars.com/vehicledetail/5d6ecba5-0467-4fbd-a17a-d2371c6849a4/,Cars.com,ZHWGU11S34LA01439,yellow,,Cars.com search results; exact miles from Cars.com JSON: 18932; seller:Paradise Automotive Group; stock:Used; exterior color: yellow
2026-09-14,Gallardo,coupe,2006,120183,19099,USD,"Houston, TX, USA",dealer,2006 Lamborghini Gallardo SE,https://www.cars.com/vehicledetail/87993d40-36f9-40a0-8879-81747388fc16/,Cars.com,ZHWGU12T96LA03061,yellow,,Cars.com search results; exact miles from Cars.com JSON: 19099; seller:TX Auto Group Houston; stock:Used; exterior color: yellow
2026-09-14,Gallardo,coupe,2005,120599,32125,USD,"Lamborghini Gallardo RP Exotics Saint Louis, MO, USA",dealer,2005 Lamborghini Gallardo,https://www.cars.com/vehicledetail/c12faf20-f29b-44c9-b98b-05fe5fd7de9b/,Cars.com,ZHWGU11S25LA02549,orange,,Cars.com search results; exact miles from Cars.com JSON: 32125; seller:RP Exotics; stock:Used; exterior color: orange
2026-09-14,Gallardo,coupe,2012,135899,,USD,"Boynton Beach, Florida, USA",dealer,2012 Lamborghini Gallardo LP550-2,https://www.classic.com/veh/2012-lamborghini-gallardo-lp550-2-zhwgu6bz4cla1183-4yoNaLW/,Classic.com,,,,Classic.com asterisk asking; 40k mi displayed; mileage blank (rounded Nk mi); seller:The Platinum Collection; subvariant: LP550
2026-09-14,Gallardo,coupe,2013,139600,,USD,"Villa Park, Illinois, USA",dealer,2013 Lamborghini Gallardo LP550-2,https://www.classic.com/veh/2013-lamborghini-gallardo-lp550-2-zhwge5au9dla1346-pe6Djz4/,Classic.com,,,,Classic.com asterisk asking; 4k mi displayed; mileage blank (rounded Nk mi); seller:Carbox; subvariant: LP550
2026-09-14,Gallardo,coupe,2013,140354,4281,USD,"Oakbrook Terrace, IL, USA",dealer,2013 Lamborghini Gallardo 1,https://www.cars.com/vehicledetail/4c09ae0a-2ea1-466e-b766-f661f44b688f/,Cars.com,ZHWGE5AU9DLA13469,white,,Cars.com search results; exact miles from Cars.com JSON: 4281; seller:Carbox; stock:Used; exterior color: white
2026-09-14,Gallardo,coupe,2006,145990,,USD,"New Albany, Indiana, USA",dealer,2006 Lamborghini Gallardo,https://www.classic.com/veh/2006-lamborghini-gallardo-zhwgu12t66la03017-p63rQV4/,Classic.com,ZHWGU12T66LA03017,black,,Classic.com asterisk asking; 37k mi displayed; mileage blank (rounded Nk mi); seller:Hypercars
