snapshot_date,model_family,body,model_year,asking_price_usd,mileage_miles,currency,location,seller_type,listing_title,listing_url,source,vin_or_stock,exterior_color,interior_color,notes
2026-09-15,675LT,coupe,2016,329999,22540,USD,"ZIP 07446, USA",dealer,2016 McLaren 675LT Coupe,https://www.cars.com/vehicledetail/5ef776d1-6f01-4e17-830e-50ab4dac5eeb/,Cars.com,SBM11RAAXGW675169,gray,,Cars.com SRP vehicle-card JSON; seller:McLaren North Jersey; exterior color: gray
2026-09-15,675LT,coupe,2016,379900,,USD,"Portland, Oregon, USA",dealer,2016 McLaren 675LT Base,https://www.classic.com/veh/2016-mclaren-675lt-base-sbm11raa1gw675223-pPLYJXp/,Classic.com,SBM11RAA1GW675223,,,"Classic.com asterisk asking; 10k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Grand Prix Motorcars, Inc."
2026-09-15,675LT,coupe,2016,409995,545,USD,"ZIP 75067, USA",dealer,2016 McLaren 675LT Coupe,https://www.cars.com/vehicledetail/1274cdb5-86c8-4459-bfcc-2868d87ed6ac/,Cars.com,SBM11RAA9GW675163,red,,Cars.com SRP vehicle-card JSON; seller:Auto Park Dallas; exterior color: red
2026-09-15,675LT,spider,2016,374393,,USD,"Kelowna, CAN",dealer,2016 McLaren 675LT Spider,https://www.classic.com/veh/2016-mclaren-675lt-spider-sbm11saaxgw675759-4Z75dOn/,Classic.com,SBM11SAAXGW675759,,,Classic.com asterisk asking; unparsed mileage text '2k km (1k mi)'; left blank; fixed-price; seller:August Luxury Motorcars
2026-09-15,675LT,spider,2016,519990,2290,USD,"Kelowna, British Columbia, Canada",dealer,2016 McLaren 675LT Spider,https://www.hemmings.com/classifieds/listing/2016-mclaren-675lt-kelowna-bc-2965175,Hemmings,,,,Hemmings classified; seller:August Luxury Motorcars; Canada listing
2026-09-15,600LT,coupe,2019,180999,9400,USD,"Hialeah, FL",dealer,2019 McLaren 600LT,https://www.cargurus.com/details/421330995,CarGurus,SBM13RAA3KW008379,Mauvine Blue,Carbon Black,Stock # 008379A; trim: Coupe RWD; deal rating: GREAT_PRICE; exterior color: Mauvine Blue
2026-09-15,600LT,coupe,2019,199997,,USD,"Orange County, Florida, USA",dealer,2019 McLaren 600LT,https://www.classic.com/veh/2019-mclaren-600lt-coupe-sbm13raa8kw006997-4aLQZxp/,Classic.com,SBM13RAA8KW006997,Red,,Classic.com asterisk asking; 28k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Route One Auto
2026-09-15,600LT,coupe,2019,210408,3270,USD,,dealer,2019 McLaren 600LT,https://www.dupontregistry.com/car/mclaren/600lt/2019/SBM13RAA1KW006775/319888,duPont REGISTRY,SBM13RAA1KW006775,,,duPont REGISTRY VDP
2026-09-15,600LT,coupe,2019,226800,,USD,"Marietta, Georgia, USA",dealer,2019 McLaren 600LT Coupe,https://www.classic.com/veh/2019-mclaren-600lt-coupe-sbm13raa6kw008344-Wv1do7n/,Classic.com,SBM13RAA6KW008344,Blue,,Classic.com asterisk asking; 10k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Legacy Motorcars
2026-09-15,600LT,coupe,2019,232995,,USD,"San Clemente, California, USA",dealer,2019 McLaren 600LT Coupe,https://www.classic.com/veh/2019-mclaren-600lt-sbm13raa6kw006514-W9aDXLW/,Classic.com,SBM13RAA6KW006514,Gray,,Classic.com asterisk asking; 17k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:European Exotic Center - San Clemente
2026-09-15,600LT,coupe,2019,234995,5968,USD,,dealer,2019 McLaren 600LT,https://www.dupontregistry.com/car/mclaren/600lt/2019/SBM13RAA0KW007139/598453,duPont REGISTRY,SBM13RAA0KW007139,Chicane Effect,,duPont REGISTRY VDP
2026-09-15,600LT,coupe,2019,234998,23200,USD,,dealer,2019 McLaren 600LT,https://www.dupontregistry.com/car/mclaren/600lt/2019/SBM13RAA2KW006705/619180,duPont REGISTRY,SBM13RAA2KW006705,Silica White,,duPont REGISTRY VDP
2026-09-15,600LT,coupe,2019,235947,,USD,"Edmond, Oklahoma, USA",dealer,2019 McLaren 600LT Coupe,https://www.classic.com/veh/2019-mclaren-600lt-coupe-sbm13raa7kw007560-WReJorn/,Classic.com,SBM13RAA7KW007560,Blue,,Classic.com asterisk asking; 16k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Exotic Motorsports of Oklahoma
2026-09-15,600LT,coupe,2019,239273,,USD,"Carrollton, Texas, USA",dealer,2019 McLaren 600LT Coupe,https://www.classic.com/veh/2019-mclaren-600lt-coupe-sbm13raa8kw006787-WxezPgp/,Classic.com,SBM13RAA8KW006787,Gray,,Classic.com asterisk asking; 11k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Earth MotorCars
2026-09-15,600LT,coupe,2019,239499,,USD,"Addison, Texas, USA",dealer,2019 McLaren 600LT Coupe,https://www.classic.com/veh/2019-mclaren-600lt-coupe-sbm13raa1kw007148-p0GOAyW/,Classic.com,SBM13RAA1KW007148,McLaren Orange,,Classic.com asterisk asking; 12k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Wolfe Motors
2026-09-15,600LT,coupe,2019,239990,,USD,"New Albany, Indiana, USA",dealer,2019 McLaren 600LT Coupe,https://www.classic.com/veh/2019-mclaren-600lt-coupe-sbm13raa2kw007790-47YlXBW/,Classic.com,SBM13RAA2KW007790,Black,,Classic.com asterisk asking; 16k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Hypercars
2026-09-15,600LT,coupe,2019,239990,,USD,"Beverly Hills, California, USA",dealer,2019 McLaren 600LT Coupe,https://www.classic.com/veh/2019-mclaren-600lt-coupe-sbm13raa7kw008353-nQGKYep/,Classic.com,SBM13RAA7KW008353,Sicilian Yellow,,Classic.com asterisk asking; 8k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Marshall Goldman Beverly Hills
2026-09-15,600LT,coupe,2019,239998,18457,USD,"ZIP 33316, USA",dealer,2019 McLaren 600LT Coupe,https://www.cars.com/vehicledetail/6eff1094-104e-4eb5-9e50-91f885cb071c/,Cars.com,SBM13RAA7KW007459,Cirrus Gray,,Cars.com SRP vehicle-card JSON; seller:1 of 1 Motorsports
